Title,Location,Price,Size,Apartment Type
"Beograd na vodi, zgrada BW Perla, 112m2","Beograd na vodi, Beograd, Srbija",695 000 €,112 m²,  Četvorosoban stan
"Prodaja stana od 78m2,Kapije Vračara","Južni bulevar, Beograd, Srbija",264 500 €,78 m²,  Dvosoban stan
ČETVOROSOBAN STAN SA BAŠTOM,"Surčin (centar), Beograd, Srbija",193 530 €,111.2 m²,  Četvorosoban stan
"DVOSOBAN STAN SA BAŠTOM, Vaš novi dom u srcu grada","Surčin (centar), Beograd, Srbija",113 290 €,67.04 m²,  Dvosoban stan
"62m2, +T25 ,CVETKOVA PIJACA , stan","Cvetkova pijaca, Beograd, Srbija",177 000 €,62 m²,  Trosoban stan
Profesorska kolonija - Lep 3.0 stan ID#4637,"Profesorska kolonija, Beograd, Srbija",245 000 €,82 m²,  Trosoban stan
"Gornji Dorćol, 5.0, pogled, garažno mesto ID#9845","Kalemegdan, Beograd, Srbija",1 499 000 €,260 m²,  Petosoban+ stan
"Odličan, dvosoban, Voždovac ID#6886","Braće Jerković, Beograd, Srbija",110 000 €,36 m²,  Dvosoban stan
NOV NOV NOV Jednoiposoban kompletno renoviran stan na prodaju sa namestajem.,"Voždovac, Beograd, Srbija",140 000 €,66 m²,  Jednosoban stan
"Bečmen, Stevana Radišića, 42m2, 1.5 ID#2809","Surčin (centar), Beograd, Srbija",68 900 €,42 m²,  Dvosoban stan
"4,0 LUX, KOMPLETNO NAMEŠTEN, 2 GARAŽNA MESTA ID#1718","Vidikovac, Beograd, Srbija",485 000 €,173 m²,  Četvorosoban stan
"Zvezdara, Denkova bašta, Belokrajinska, 30m2 + parking mesto ID#13959","Učiteljsko naselje, Beograd, Srbija",115 000 €,30 m²,  Dvosoban stan
STAN U NAJKVALITETNIJOJ ZGRADI NA LEDINAMA,"Ledine, Beograd, Srbija",99 750 €,50 m²,  Dvosoban stan
"Zemun, Save Kovačevića, 1.5, opremljen ID#9619","Zemun (Save Kovačevića), Beograd, Srbija",99 000 €,43 m²,  Dvosoban stan
LUX STAN SA NAJLEPŠIM POGLEDOM,"Ledine, Beograd, Srbija",106 000 €,56 m²,  Dvosoban stan
"SMART HOUSE STAN ,NAJKVALITETNIJA NOVOGRADNJA...","Novi Beograd, Beograd, Srbija",115 700 €,50.31 m²,  Trosoban stan
NAJKVALITETNIJA NOVOGRADNJA NA LEDINAMA,"Ledine, Beograd, Srbija",98 900 €,43 m²,  Dvosoban stan
"Grand kafa, 2.0 uknjižen, parking ID#3771","Ledine, Beograd, Srbija",127 500 €,52 m²,  Dvosoban stan
"Naselje Save Kovačevića, sa spavaćom sobom","Zemun (Save Kovačevića), Beograd, Srbija",99 000 €,43 m²,  Jednosoban stan
"BW Verde, odmah useljiv, lux, sa garažnim mestom ID#2467","Beograd na vodi, Beograd, Srbija",375 500 €,79 m²,  Trosoban stan
"Kapetana Zavišića, Fon, Voždovac ID#7030","Voždovac, Beograd, Srbija",220 000 €,86 m²,  Trosoban stan
"Komforan stan, 62m2, na odličnoj lokaciji ID#7032","Konjarnik, Beograd, Srbija",165 500 €,62 m²,  Dvosoban stan
"BW Eterna, prostran, svetao, useljiv ID#3555","Beograd na vodi, Beograd, Srbija",375 000 €,85.5 m²,  Trosoban stan
"Dvoiposoban, odlična investicija ID#6982","Vukov spomenik, Beograd, Srbija",191 000 €,68 m²,  Trosoban stan
"BW Riviera, najbolji stan u gradu ID#3564","Beograd na vodi, Beograd, Srbija",1 590 000 €,203.61 m²,  Četvorosoban stan
"BW Quartet 4, južno orijentisan, odmah useljivo ID#3614","Beograd na vodi, Beograd, Srbija",351 000 €,78 m²,  Trosoban stan
"BW Alegra, luksuzan, dvostrana orijentacija, bez provizije ID#3638","Beograd na vodi, Beograd, Srbija",299 888 €,75.16 m²,  Trosoban stan
"1.5 stan u naselju Save Kovačević, Dragana Rakića ID#2893","Zemun (Save Kovačevića), Beograd, Srbija",99 000 €,43 m²,  Dvosoban stan
"BW Alegra, na rate, bez provizije ID#3637","Beograd na vodi, Beograd, Srbija",189 888 €,34 m²,  Garsonjera
"BW Iskra,  odlična cena, bez provizije ID#3632","Beograd na vodi, Beograd, Srbija",292 888 €,70.43 m²,  Trosoban stan
"BW Perla, premium zgrada, najekskluzivnija lokacija ID#3588","Beograd na vodi, Beograd, Srbija",428 888 €,70 m²,  Dvosoban stan
"BW Nova, bez provizije ID#3586","Beograd na vodi, Beograd, Srbija",270 888 €,62 m²,  Trosoban stan
"BW King's Park, sa baštom, pogled na Savski park, useljivo do kraja godine ID#3583","Beograd na vodi, Beograd, Srbija",518 888 €,125 m²,  Trosoban stan
"BW Vizia, plaćanje na rate, bez provizije ID#3578","Beograd na vodi, Beograd, Srbija",287 888 €,72 m²,  Trosoban stan
"BW Diva, sa PDV-om, odlična prilika ID#3573","Beograd na vodi, Beograd, Srbija",413 888 €,99 m²,  Četvorosoban stan
"BW King's Park, luksuzan stan sa polgledom na park, uskoro useljiv ID#3572","Beograd na vodi, Beograd, Srbija",701 888 €,154.31 m²,  Petosoban+ stan
"BW Alegra, na rate, bez provizije ID#3571","Beograd na vodi, Beograd, Srbija",283 888 €,71 m²,  Trosoban stan
Zemun - Save Kovačevića - 1.5 ID#22797,"Zemun (Save Kovačevića), Beograd, Srbija",99 000 €,43 m²,  Dvosoban stan
"BW Diva, sa PDV-om, odlična prilika ID#3529","Beograd na vodi, Beograd, Srbija",241 888 €,54 m²,  Dvosoban stan
"BW Quartet 4, južno orijentisan, svetao ID#3680","Beograd na vodi, Beograd, Srbija",349 000 €,78 m²,  Trosoban stan
"BW Bonaca, duplex, privatna bašta ID#3528","Beograd na vodi, Beograd, Srbija",641 888 €,139 m²,  Trosoban stan
"BW Diva, na rate, bez provizije ID#3510","Beograd na vodi, Beograd, Srbija",240 888 €,54 m²,  Dvosoban stan
"BW Victoria, premium lokacija, pogled na reku ID#3469","Beograd na vodi, Beograd, Srbija",584 888 €,114 m²,  Trosoban stan
"BW Vizia, plaćanje na rate, bez provizije ID#3304","Beograd na vodi, Beograd, Srbija",285 888 €,72.6 m²,  Trosoban stan
"BW King's Park, pogled na park, bez provizije ID#3159","Beograd na vodi, Beograd, Srbija",307 888 €,63 m²,  Dvosoban stan
"BW Riviera, pogled na reku, bazen i teretana ID#3149","Beograd na vodi, Beograd, Srbija",942 888 €,151 m²,  Trosoban stan
"West 65, moderan, kompletno namešten ID#3698","Novi Beograd Blok 65, Beograd, Srbija",319 600 €,68 m²,  Dvosoban stan
"BW-King's park, privatno dvorište, svetao ID#3703","Beograd na vodi, Beograd, Srbija",585 000 €,120 m²,  Četvorosoban stan
"Zemun, Novi grad, 49m2 sa parkingom ID#4078","Zemun (Novi Grad), Beograd, Srbija",110 000 €,49 m²,  Trosoban stan
Kanarevo Brdo,"Kanarevo brdo, Beograd, Srbija",55 000 €,20 m²,  Garsonjera
"BW Vizia, stan sa baštom, bez provizije ID#3678","Beograd na vodi, Beograd, Srbija",261 888 €,69 m²,  Trosoban stan
"BW Bonaca, premium zgrada sa bazenom ID#3651","Beograd na vodi, Beograd, Srbija",328 888 €,64.06 m²,  Dvosoban stan
"BW Bonaca, luksuzan, sa bazenom ID#3643","Beograd na vodi, Beograd, Srbija",508 888 €,107.19 m²,  Trosoban stan
"BW Iskra,  stan sa baštom ID#3675","Beograd na vodi, Beograd, Srbija",277 888 €,70 m²,  Trosoban stan
"Zemun, Karlovačka, renoviran jednosoban, opremljen ID#9790","Zemun (Gornji grad), Beograd, Srbija",121 500 €,46 m²,  Jednosoban stan
Skojevsko naselje odličan 1.0 stan ID#1475,"Skojevsko naselje, Beograd, Srbija",115 000 €,41 m²,  Jednosoban stan
"BW Riviera, pogled na reku, lux, gm ID#3657","Beograd na vodi, Beograd, Srbija",695 000 €,82.26 m²,  Dvosoban stan
"Salonski stan, jedinstven,  top lokacija!","Gornji Dorćol, Beograd, Srbija",305 000 €,81 m²,  Četvorosoban stan
Novi Beograd - Paviljoni - 2.0 ID#23754,"Novi Beograd Blok 7 (Paviljoni), Beograd, Srbija",160 000 €,52 m²,  Dvosoban stan
"Luksuzan-Dedinje 156m2,4.0+garaza #4153","Dedinje (Beli dvor), Beograd, Srbija",490 000 €,156 m²,  Četvorosoban stan
Blok 38 - kod Omladinskih brigada - škola - četvorosoban stan ID#4882,"Novi Beograd Blok 38 (OŠ Ratko Mitrović), Beograd, Srbija",285 000 €,94 m²,  Četvorosoban stan
"Vidikovačka padina, Prvoboraca ID#2398","Vidikovačka padina, Beograd, Srbija",65 000 €,31.39 m²,  Dvosoban stan
"Novogradnja, Batajnica centar, 3.0, 67,59m2 ID#6916","Batajnica, Beograd, Srbija",114 900 €,67.59 m²,  Trosoban stan
"Sakura Park, dvosoban sa garderoberom i pogledom","Novi Beograd Blok 58, Beograd, Srbija",296 000 €,71 m²,  Dvosoban stan
Extra lux stanovi u izgradnji-bez provizije,"Crveni krst, Beograd, Srbija",257 208 €,77 m²,  Trosoban stan
Dva Stana 97m2 Merene Površine Bez Provizije!,"Stari Grad, Beograd, Srbija",185 000 €,66 m²,  Četvorosoban stan
"Petlovo brdo, uknjižen, odmah useljiv","Petlovo brdo, Beograd, Srbija",136 000 €,66 m²,  Trosoban stan
"LUX stan, sređen i opremljen sa garaznim mestom. ID#1872","Novi Beograd Blok 67 (Belvil), Beograd, Srbija",535 000 €,94 m²,  Četvorosoban stan
"Banjička oaza, novogradnja,garsonjera sa velikom terasom ID#2449","Banjica, Beograd, Srbija",108 000 €,27 m²,  Garsonjera
"Zvezdara, Konjarnik, 2.0 stan, 62m2, 165500 EUR","Konjarnik, Beograd, Srbija",165 500 €,62 m²,  Dvosoban stan
"Mirijevo, Podmorničara Đorđa Mitrovića, 42m2, 1.5 ID#2689","Mirijevo III, Beograd, Srbija",75 600 €,42 m²,  Dvosoban stan
"Mirijevo, Podmorničara Đorđa Mitrovića, 59m2, 2.5 ID#2691","Mirijevo III, Beograd, Srbija",106 200 €,59 m²,  Trosoban stan
"Mirijevo, Podmorničara Đorđa Mitrovića, 51m2, 2.0 ID#2692","Mirijevo III, Beograd, Srbija",91 800 €,51 m²,  Dvosoban stan
Siri centar-Zeleznik ID#1335,"Železnik, Beograd, Srbija",170 000 €,84 m²,  Četvorosoban stan
"Stan sa dva ulaza, Kosovska","Terazije ( centar ), Beograd, Srbija",650 000 €,156 m²,  Petosoban+ stan
"Cvetanova ćuprija Novogradnja 51,86 m2 parking mesto u ceni","Cvetanova ćuprija, Beograd, Srbija",110 000 €,51.86 m²,  Trosoban stan
"Odmah useljiv, 2,0 uknjižen stan u Bloku 70","Novi Beograd Blok 70 (Kineski TC), Beograd, Srbija",185 000 €,58 m²,  Dvosoban stan
"Cvetanova ćuprija Novogradnja 56,06 m2 parking mesto u ceni","Cvetanova ćuprija, Beograd, Srbija",115 000 €,56 m²,  Trosoban stan
"Novogradnja, Lux, Vojvode Stepe ID#7023","Trošarina, Beograd, Srbija",280 404 €,82 m²,  Trosoban stan
"Novogradnja, Lux, Vojvode Stepe ID#7022","Trošarina, Beograd, Srbija",199 214 €,55 m²,  Trosoban stan
Zamena za auto do 40k,"Profesorska kolonija, Beograd, Srbija",130 000 €,57 m²,  Dvosoban stan
"Novogradnja, Lux, Vojvode Stepe ID#7021","Trošarina, Beograd, Srbija",194 813 €,58 m²,  Trosoban stan
Centar-Beograd na vodi-Perla ID#271322,"Beograd na vodi, Beograd, Srbija",420 000 €,71 m²,  Dvosoban stan
BW Perla stan od166m2 - bez provizije,"Beograd na vodi, Beograd, Srbija",798 000 €,166 m²,  Četvorosoban stan
"2.5 stan kod Cvetkove pijace, Živka Davidovića ID#2961","Cvetkova pijaca, Beograd, Srbija",159 162 €,53.59 m²,  Trosoban stan
Prodajem uknjizen stan,"Borča I, Beograd, Srbija",56 000 €,28 m²,  Jednosoban stan
"Odličan, 3.5, Blok 70a, Savski kej, Omladinskih brigada","Novi Beograd Blok 70a, Beograd, Srbija",295 000 €,98 m²,  Trosoban stan
Poslednji neprodati  stanovi u naselju Stepa Stepanović u kompleksu Vojvoda Residence - dvoiposobni stan,"Stepa Stepanović, Beograd, Srbija",207 208 €,70 m²,  Dvosoban stan
Useljiv u maju,"Dušanovac, Beograd, Srbija",197 000 €,58 m²,  Trosoban stan
"DUŠANOVAC, 93M2, III, NOVOGRADNJA","Dušanovac, Beograd, Srbija",233 175 €,93 m²,  Četvorosoban stan
"Uskoro useljivi, bez agencijske provizije","Lekino brdo, Beograd, Srbija",169 000 €,59.87 m²,  Dvosoban stan
"DUŠANOVAC, 91M2, III, , LUX NOVO","Dušanovac, Beograd, Srbija",228 025 €,91 m²,  Trosoban stan
"166m2, (T) ,BULEVAR OSLOBOĐENJA , stan","Voždovac, Beograd, Srbija",615 000 €,166 m²,  Petosoban+ stan
"88m2, 2T ,MIRIJEVO , stan","Mirijevo I, Beograd, Srbija",185 000 €,88 m²,  Petosoban+ stan
"44m2, CENTAR , stan","Centar (uži), Beograd, Srbija",175 000 €,44 m²,  Dvosoban stan
"Beograd na vodi, zgrada BW Sensa, 60m2","Beograd na vodi, Beograd, Srbija",265 000 €,60.08 m²,  Dvosoban stan
"KONJARNIK, 62M2, IV, CG","Konjarnik, Beograd, Srbija",165 500 €,62 m²,  Dvosoban stan
"DUŠANOVAC, 61M2, PR, NOVOGRADNJA","Dušanovac, Beograd, Srbija",159 146 €,61 m²,  Trosoban stan
"DUŠANOVAC, 66M2, PR, NOVOGRADNJA","Dušanovac, Beograd, Srbija",171 366 €,66 m²,  Trosoban stan
"Rakovica, Kneževac, Kneževačka, 50.58m2, Kneževačka","Kneževac, Beograd, Srbija",87 000 €,51 m²,  Jednosoban stan
Svetao i prostran 3.5 stan na Zvezdari – kvalitet i udobnost !,"Zvezdara, Beograd, Srbija",209 500 €,74 m²,  Četvorosoban stan
"Dvosoban, top lokacija, Centar","Savski venac, Beograd, Srbija",215 000 €,71 m²,  Dvosoban stan
"Prodajem 2.5 stan sa ter na II spratu, Vuk, tc Zira,  novogradnja, 210000eu, eg, vlasnik 0646683990","Slavujev venac, Beograd, Srbija",210 000 €,62 m²,  Trosoban stan
Stan u centru Beograda,"Savski venac, Beograd, Srbija",130 000 €,38 m²,  Jednosoban stan
"Grocka, Kaluđerica, kod Vladimira Rolovića, 0.5, 25m2, 47000 EUR","Kaluđerica, Beograd, Srbija",47 000 €,25 m²,  Jednosoban stan
"Voždovac, Medaković, Mokroluška, 55m2 ID#13102","Medaković I, Beograd, Srbija",149 000 €,55 m²,  Trosoban stan
Prodaja stana- dvosoban sa dve terase i garazom u mirnom delu grada,"Voždovac, Beograd, Srbija",60 000 €,51 m²,  Dvosoban stan
Stan sa otvorenim pogledom ID#9918,"Centar (uži), Beograd, Srbija",750 000 €,113 m²,  Četvorosoban stan
"Novogradnja, Batajnica centar, 3.0, 65,53m2 ID#6908","Batajnica, Beograd, Srbija",111 400 €,65.53 m²,  Trosoban stan
"Hram, Svetog Save, 52m2, 3.0 ID#2711","Vračar (Hram), Beograd, Srbija",330 000 €,52 m²,  Trosoban stan
"Dušana Krstića, Ledine, Novi Beograd ID#5635","Ledine, Beograd, Srbija",125 000 €,34 m²,  Dvosoban stan
"Jurija Gagarina, Blok 45, Novi Beograd ID#5802","Novi Beograd Blok 45 (TC Enjub), Beograd, Srbija",265 000 €,53.7 m²,  Dvosoban stan
"Stan 4.0, 168m2, Davida Pajića (Beograd), 445000e","Lekino brdo, Beograd, Srbija",445 000 €,168 m²,  Četvorosoban stan
"Stan 4.0, 97m2, Mirijevska (Beograd), 140600e","Beograd, Srbija",140 600 €,97 m²,  Četvorosoban stan
"Trošarina, 82m2, bez provizije za kupce ID#50034","Trošarina, Beograd, Srbija",246 000 €,82 m²,  Četvorosoban stan
BW Metropolitan - Kompaktan stan u centru dešavanja,"Beograd na vodi, Beograd, Srbija",180 000 €,28.25 m²,  Jednosoban stan
"Barajevo, Lipovica ID#2407","Barajevo, Beograd, Srbija",127 000 €,87 m²,  Trosoban stan
Rudi Čajaveca Mirijevo ID#43625,"Mirijevo I, Beograd, Srbija",199 000 €,92 m²,  Četvorosoban stan
"BW Queens park, nov, pored spomenika Stefanu Nemanji","Beograd na vodi, Beograd, Srbija",360 000 €,70 m²,  Trosoban stan
"Beograd na vodi, Luke Ćelovića Trebinjica, 71m2, 3.0 ID#2823","Beograd na vodi, Beograd, Srbija",360 000 €,71 m²,  Trosoban stan
sta u potkrovlju opština Rakovica,"Petlovo brdo, Beograd, Srbija",60 000 €,33 m²,  Jednosoban stan
"Na prodaju dizajniran moderan, luksuzno opremljen stan u samom srcu grada!","Stari Grad, Beograd, Srbija",193 000 €,34 m²,  Jednosoban stan
"Golf naselje, Izvorska, duplex, 72m2 ID#31164","Golf naselje, Beograd, Srbija",300 000 €,72 m²,  Četvorosoban stan
"Prodaja Stan Duplex Zemun Vinarska 71m2, 4.0 uknjizen ID#1334","Zemun (Save Kovačevića), Beograd, Srbija",168 800 €,71 m²,  Četvorosoban stan
Penthouse na izuzetnoj lokaciji ID#2448,"Vračar (Centar), Beograd, Srbija",870 000 €,300 m²,  Petosoban+ stan
"Dinarska, Autokomanda, Savski venac ID#7015","Autokomanda, Beograd, Srbija",109 900 €,20 m²,  Garsonjera
"Savski Venac, Zeleni Venac, Gavrila Principa, 38m2 ID#7045","Zeleni venac, Beograd, Srbija",110 000 €,38 m²,  Dvosoban stan
"Zvezdara, Cvetanova ćuprija, Milošev kladenac, 60m2 ID#5643","Cvetanova ćuprija, Beograd, Srbija",130 000 €,51 m²,  Trosoban stan
"Zvezdara, Lion, Preševska, 83m2 ID#54097","Lion, Beograd, Srbija",220 000 €,83 m²,  Trosoban stan
Odličan trosoban stan idealan za porodice ID#6903,"Cerak, Beograd, Srbija",190 000 €,82 m²,  Trosoban stan
Železnik - Žarka Vasiljevića ID#1896,"Železnik, Beograd, Srbija",119 000 €,57 m²,  Dvosoban stan
"Prodajemo odličan jednoiposoban stan na Lionu, 55m2","Lion, Beograd, Srbija",183 350 €,55 m²,  Dvosoban stan
"Blok 12 (YUBC), renoviran","Novi Beograd Blok 12 (YUBC), Beograd, Srbija",99 000 €,34 m²,  Garsonjera
"Zemun 41m2, Meandri ID#4075","Zemun (Meandri), Beograd, Srbija",120 000 €,41 m²,  Dvosoban stan
"Savski Venac, Dedinje, Miloja Đaka, 101m2 ID#10429","Dedinje (Beli dvor), Beograd, Srbija",299 000 €,91 m²,  Četvorosoban stan
Dvoiposoban stan kod Vera ID#6292,"Žarkovo, Beograd, Srbija",149 450 €,61 m²,  Trosoban stan
"Šumatovačka 155 trosoban stan,recepcija,fitness,bazen,parking lux zgrada","Južni bulevar, Beograd, Srbija",315 000 €,85 m²,  Trosoban stan
Podujevska 17-19 prodajem 36m2 lokal ili stan u polusuterenu sa prirodnim svetlom,"Cvetkova pijaca, Beograd, Srbija",80 000 €,36 m²,  Jednosoban stan
"Vračar, Centar, Resavska, garsonjera u srcu Beograda ID#12986","Vračar (Centar), Beograd, Srbija",145 000 €,27 m²,  Garsonjera
"Belo vrelo, bez ulaganja, lep i miran  kraj ID#1603","Bele vode, Beograd, Srbija",117 500 €,69 m²,  Trosoban stan
"Bežanijska kosa II, 5.0, 128m2","Bežanijska kosa II, Beograd, Srbija",455 000 €,128000 m²,  Petosoban+ stan
"Zemun, Batajnica ID#7011","Batajnica, Beograd, Srbija",147 000 €,128 m²,  Četvorosoban stan
"LUX gradnja, pocetak Ledina, Lole Novakovic 8","Ledine, Beograd, Srbija",91 900 €,52.5 m²,  Trosoban stan
"Lole Novakovic, LUX novogradnja, Pocetak Naselja Ledine","Ledine, Beograd, Srbija",112 500 €,65 m²,  Četvorosoban stan
2.0 stan Padinska Skela (Tovilište) ID#1712,"Padinska skela, Beograd, Srbija",52 000 €,55 m²,  Dvosoban stan
Lux Novogradnja - Novi Beograd ID#1862,"Novi Beograd Blok 65, Beograd, Srbija",310 650 €,83.96 m²,  Trosoban stan
"Izuzetan, lux stan ID#131648","Dedinje (Beli dvor), Beograd, Srbija",480 000 €,256 m²,  Petosoban+ stan
Lux novogradnja ID#131767,"Denkova bašta, Beograd, Srbija",170 000 €,87 m²,  Četvorosoban stan
"4,0, izuzetan... ID#1366","Petlovo brdo, Beograd, Srbija",250 000 €,163 m²,  Četvorosoban stan
"Zemun - 3.0, + terasa + dvorište, 2 parking mesta ID#19113","Zemun (Novi Grad), Beograd, Srbija",209 900 €,58 m²,  Trosoban stan
"Skadarlija, pešačka zona, salonac","Skadarlija, Beograd, Srbija",380 000 €,96 m²,  Četvorosoban stan
"Lux ,namešten, garaža, Golsvordijeva ID#2947","Kalenić pijaca, Beograd, Srbija",398 000 €,103 m²,  Trosoban stan
1.5 Borča centar 1 ID#2152,"Borča I, Beograd, Srbija",74 000 €,45 m²,  Dvosoban stan
Stan Vrbovski ID#2153,"Beograd, Srbija",46 500 €,70 m²,  Trosoban stan
"Bežanijska kosa II, Marka Čelebonovića, 84m2 + 26m2 terasa","Bežanijska kosa II, Beograd, Srbija",249 000 €,84 m²,  Četvorosoban stan
"Retko u ponudi, sa prelepim pogledom","Donji Dorćol, Beograd, Srbija",118 000 €,22 m²,  Garsonjera
"Zvezdara, Mirijevo, Samjuela Beketa-Komforan stan u starogradnji ID#7636","Mirijevo I, Beograd, Srbija",218 500 €,95 m²,  Četvorosoban stan
Vračar - Kalenic pijaca ID#2836,"Kalenić pijaca, Beograd, Srbija",355 000 €,137 m²,  Petosoban+ stan
"Dupleks stan za prodaju (garaza na zahtev), Tašmajdan","Tašmajdan, Beograd, Srbija",460 000 €,130 m²,  Četvorosoban stan
"Vracar, Prote Mateje, salonac ID#3037","Tašmajdan, Beograd, Srbija",297 000 €,70 m²,  Trosoban stan
LUX 3.5 stan-novogradanja kod Ustaničke ID#2400,"Dušanovac, Beograd, Srbija",282 690 €,123.7 m²,  Četvorosoban stan
Vračar-Sumatovacka ID#2831,"Vračar (Hram), Beograd, Srbija",229 000 €,59 m²,  Dvosoban stan
CRVENI KRST! Direktna prodaja stanova! LUX gradnja,"Crveni krst, Beograd, Srbija",150 000 €,35.98 m²,  Jednosoban stan
"Stan 4.0, 125m2, Vase Stajića (Beograd), 376710e","Banovo brdo, Beograd, Srbija",376 710 €,125 m²,  Četvorosoban stan
"Stan 5.0, 125m2, Kneginje Zorke (Beograd), 450000e","Vračar (Hram), Beograd, Srbija",450 000 €,125 m²,  Petosoban+ stan
"Stan 3.0, 85m2, Strumička (Beograd), 285000e","Lekino brdo, Beograd, Srbija",285 000 €,85 m²,  Trosoban stan
"Stan 5.0, 223m2, Nevesinjska (Beograd), 1600000e","Vračar (Hram), Beograd, Srbija",1 600 000 €,223 m²,  Petosoban+ stan
"Stan 2.5, 54m2, Milisava Đurovića (Beograd), 181104e","Voždovac, Beograd, Srbija",181 104 €,54 m²,  Dvosoban stan
"Stan 4.0, 122m2, Loznička (Beograd), 512000e","Kalenić pijaca, Beograd, Srbija",512 000 €,122 m²,  Četvorosoban stan
"Stan 3.0, 77m2, Šajkaška (Beograd), 220000e","Botanička bašta, Beograd, Srbija",220 000 €,77 m²,  Trosoban stan
"Stan 2.5, 57m2, Branislava Barišića Doktora (Beograd), 66000e","Batajnica, Beograd, Srbija",66 000 €,57 m²,  Dvosoban stan
"Stan 3.0, 80m2, Morinjska (Beograd), 106000e","Veliki mokri lug, Beograd, Srbija",106 000 €,80 m²,  Trosoban stan
"Stan 2.0, 40m2, Boška Petrovića (Beograd), 89000e","Savski venac, Beograd, Srbija",89 000 €,40 m²,  Dvosoban stan
"Stan 2.0, 60m2, Grge Jankesa (Beograd), 120000e","Zvezdara, Beograd, Srbija",120 000 €,60 m²,  Dvosoban stan
"Stan 3.0, 63m2, Mirka Milojkovića (Beograd), 149900e","Višnjica, Beograd, Srbija",149 900 €,63 m²,  Trosoban stan
"Stan 3.0, 149m2, Vojvode Stepe (Beograd), 390000e","Trošarina, Beograd, Srbija",390 000 €,149 m²,  Trosoban stan
"Stan 4.0, 122m2, Baba Višnjina (Beograd), 550000e","Kalenić pijaca, Beograd, Srbija",550 000 €,122 m²,  Četvorosoban stan
"Stan 3.0, 73m2, Draže Pavlovića (Beograd), 239900e","Tašmajdan, Beograd, Srbija",239 900 €,73 m²,  Trosoban stan
"Stan 4.0, 94m2, Bulevar Crvene Armije (Beograd), 535000e","Novi Beograd Blok 67 (Belvil), Beograd, Srbija",535 000 €,94 m²,  Četvorosoban stan
"Stan 2.0, 45m2, Murmanska (Beograd), 120000e","Zvezdara, Beograd, Srbija",120 000 €,45 m²,  Dvosoban stan
"Stan 3.0, 66m2, Preševska (Beograd), 204851e","Zvezdara, Beograd, Srbija",204 851 €,66 m²,  Trosoban stan
"Stan 1.5, 46m2, Milisava Đurovića (Beograd), 145235e","Voždovac, Beograd, Srbija",145 235 €,46 m²,  Jednosoban stan
"Stan 2.5, 57m2, Milisava Đurovića (Beograd), 177103e","Voždovac, Beograd, Srbija",177 103 €,57 m²,  Dvosoban stan
"Stan 1.0, 48m2, Strahinjića Bana (Beograd), 165000e","Gornji Dorćol, Beograd, Srbija",165 000 €,48 m²,  Jednosoban stan
"Stan 2.0, 59m2, Šumatovačka (Beograd), 229000e","Vračar (Hram), Beograd, Srbija",229 000 €,59 m²,  Dvosoban stan
"Stan 1.0, 36m2, Svetogorska (Beograd), 120000e","Stari Grad, Beograd, Srbija",120 000 €,36 m²,  Jednosoban stan
"Stan 4.0, 106m2, Deli Radivoja (Beograd), 424000e","Voždovac, Beograd, Srbija",424 000 €,106 m²,  Četvorosoban stan
"Stan 3.0, 61m2, Koste Nađa (Beograd), 117000e","Zvezdara, Beograd, Srbija",117 000 €,61 m²,  Trosoban stan
"Stan 4.0, 108m2, Maksima Gorkog (Beograd), 290000e","Vračar (Centar), Beograd, Srbija",290 000 €,108 m²,  Četvorosoban stan
"Stan 3.0, 86m2, Banjalučka (Beograd), 285000e","Lekino brdo, Beograd, Srbija",285 000 €,86 m²,  Trosoban stan
"Stan 1.5, 45m2, Milisava Đurovića (Beograd), 149556e","Voždovac, Beograd, Srbija",149 556 €,45 m²,  Jednosoban stan
"Stan 1.0, 31m2, Jelenov žleb (Beograd), 67000e","Bele vode, Beograd, Srbija",67 000 €,31 m²,  Jednosoban stan
"Stan 2.5, 54m2, Milisava Đurovića (Beograd), 175616e","Voždovac, Beograd, Srbija",175 616 €,54 m²,  Dvosoban stan
"Stan 5.0, 140m2, Tadije Sondermajera (Beograd), 799000e","Novi Beograd, Beograd, Srbija",799 000 €,140 m²,  Petosoban+ stan
"Stan 6.0, 208m2, Nevesinjska (Beograd), 1600000e","Vračar (Hram), Beograd, Srbija",1 600 000 €,208 m²,  Petosoban+ stan
"Stan 4.0, 103m2, Kralja Milutina (Beograd), 350000e","Slavija, Beograd, Srbija",350 000 €,103 m²,  Četvorosoban stan
"Stan 4.0, 84m2, Rastka Petrovića (Beograd), 128000e","Voždovac, Beograd, Srbija",128 000 €,84 m²,  Četvorosoban stan
"Stan 4.0, 97m2, Banjalučka (Beograd), 302000e","Lekino brdo, Beograd, Srbija",302 000 €,97 m²,  Četvorosoban stan
"Stan 3.0, 71m2, Luke Vojvodića (Beograd), 160000e","Rakovica, Beograd, Srbija",160 000 €,71 m²,  Trosoban stan
"Stan 3.0, 69m2, Hadži Đerina (Beograd), 292000e","Kalenić pijaca, Beograd, Srbija",292 000 €,69 m²,  Trosoban stan
"Stan 4.0, 131m2, Stojana Protića (Beograd), 589500e","Vračar (Hram), Beograd, Srbija",589 500 €,131 m²,  Četvorosoban stan
"Stan 4.0, 171m2, Dimitrija Marinkovića (Beograd), 425000e","Voždovac, Beograd, Srbija",425 000 €,171 m²,  Četvorosoban stan
